bus,technology,unit_id,demand_TWh,remaining_lifetime,decommissioning_year,p_nom,carrier,commissioning_year
DE0 2 heat,gas_burner,1,0.9925504032258066,1,2021,283.26,gas,2001
DE0 2 heat,gas_burner,2,0.9925504032258066,1,2021,283.26,gas,2001
DE0 2 heat,gas_burner,3,0.9925504032258066,1,2021,283.26,gas,2001
DE0 2 heat,gas_burner,4,0.9925504032258066,1,2021,283.26,gas,2001
DE0 2 heat,gas_burner,5,0.9925504032258066,1,2021,283.26,gas,2001
DE0 2 heat,gas_burner,6,0.9925504032258066,1,2021,283.26,gas,2001
DE0 2 heat,gas_burner,7,0.9925504032258066,1,2021,283.26,gas,2001
DE0 2 heat,gas_burner,8,0.9925504032258066,2,2022,283.26,gas,2002
DE0 2 heat,gas_burner,9,0.9925504032258066,2,2022,283.26,gas,2002
DE0 2 heat,gas_burner,10,0.9925504032258066,2,2022,283.26,gas,2002
DE0 2 heat,gas_burner,11,0.9925504032258066,2,2022,283.26,gas,2002
DE0 2 heat,gas_burner,12,0.9925504032258066,2,2022,283.26,gas,2002
DE0 2 heat,gas_burner,13,0.9925504032258066,2,2022,283.26,gas,2002
DE0 2 heat,gas_burner,14,0.9925504032258066,3,2023,283.26,gas,2003
DE0 2 heat,gas_burner,15,0.9925504032258066,3,2023,283.26,gas,2003
DE0 2 heat,gas_burner,16,0.9925504032258066,3,2023,283.26,gas,2003
DE0 2 heat,gas_burner,17,0.9925504032258066,3,2023,283.26,gas,2003
DE0 2 heat,gas_burner,18,0.9925504032258066,3,2023,283.26,gas,2003
DE0 2 heat,gas_burner,19,0.9925504032258066,3,2023,283.26,gas,2003
DE0 2 heat,gas_burner,20,0.9925504032258066,3,2023,283.26,gas,2003
DE0 2 heat,gas_burner,21,0.9925504032258066,4,2024,283.26,gas,2004
DE0 2 heat,gas_burner,22,0.9925504032258066,4,2024,283.26,gas,2004
DE0 2 heat,gas_burner,23,0.9925504032258066,4,2024,283.26,gas,2004
DE0 2 heat,gas_burner,24,0.9925504032258066,4,2024,283.26,gas,2004
DE0 2 heat,gas_burner,25,0.9925504032258066,4,2024,283.26,gas,2004
DE0 2 heat,gas_burner,26,0.9925504032258066,4,2024,283.26,gas,2004
DE0 2 heat,gas_burner,27,0.9925504032258066,5,2025,283.26,gas,2005
DE0 2 heat,gas_burner,28,0.9925504032258066,5,2025,283.26,gas,2005
DE0 2 heat,gas_burner,29,0.9925504032258066,5,2025,283.26,gas,2005
DE0 2 heat,gas_burner,30,0.9925504032258066,5,2025,283.26,gas,2005
DE0 2 heat,gas_burner,31,0.9925504032258066,5,2025,283.26,gas,2005
DE0 2 heat,gas_burner,32,0.9925504032258066,5,2025,283.26,gas,2005
DE0 2 heat,gas_burner,33,0.9925504032258066,5,2025,283.26,gas,2005
