,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 E onwind,onwind,380.955,DE0 E,,,2028.0
DE0 E solar,solar,0.897429,DE0 E,,,2028.0
DE0 F onwind,onwind,306.48,DE0 F,,,2028.0
DE0 F solar,solar,1.905954,DE0 F,,,2028.0
DE0 G onwind,onwind,157.356,DE0 G,,,2028.0
DE0 G solar,solar,4.436913,DE0 G,,,2028.0
DE0 1 onwind,onwind,35.6,DE0 1,,,2029.0
DE0 1 solar,solar,133.461911,DE0 1,,,2029.0
DE0 2 onwind,onwind,27.7,DE0 2,,,2029.0
DE0 2 solar,solar,268.77375,DE0 2,,,2029.0
DE0 4 onwind,onwind,228.15,DE0 4,,,2029.0
DE0 4 solar,solar,3.228553,DE0 4,,,2029.0
DE0 7 onwind,onwind,55.8,DE0 7,,,2029.0
DE0 7 solar,solar,50.904683,DE0 7,,,2029.0
DE0 8 onwind,onwind,159.9,DE0 8,,,2029.0
DE0 8 solar,solar,3.701114,DE0 8,,,2029.0
DE0 9 onwind,onwind,465.85,DE0 9,,,2029.0
DE0 9 solar,solar,36.539491,DE0 9,,,2029.0
DE0 A onwind,onwind,228.1,DE0 A,,,2029.0
DE0 A solar,solar,58.33416,DE0 A,,,2029.0
DE0 B onwind,onwind,66.0,DE0 B,,,2029.0
DE0 B solar,solar,15.23931,DE0 B,,,2029.0
DE0 C onwind,onwind,43.9,DE0 C,,,2029.0
DE0 C solar,solar,14.85192,DE0 C,,,2029.0
